"Rango","Paese","Continente","Stima","Data"
"123","Nuova Zelanda","Oceania","5.106.922","12/2020"
"124","Irlanda","Europa","4.977.400","4/2020"
"125","Liberia","Africa","4.568.298","7/2020"
"126","Kuwait","Asia","4.464.521","1/2020"
"127","Oman","Asia","4.445.262","9/2020"
"128","Panama","America","4.278.500","7/2020"
"129","Mauritania","Africa","4.173.077","7/2020"
"130","Croazia","Europa","4.058.165","12/2019"
"131","Georgia","Asia o Europa-Asia","3.716.858","1/2020"
"132","Eritrea","Africa","3.546.000","7/2020"
"133","Uruguay","America","3.530.912","1/2020"
"134","Mongolia","Asia","3.451.402","12/2020"
"135","Bosnia ed Erzegovina","Europa","3.332.593","7/2019"
"136","Porto Rico (Stati Uniti)","America","3.193.694","7/2019"
"137","Armenia","Asia","2.967.900","9/2020"
"138","Albania","Europa","2.845.955","1/2020"
"139","Lituania","Europa","2.794.870","11/2020"
"140","Giamaica","America","2.734.093","12/2019"
"141","Qatar","Asia","2.717.360","10/2020"
"142","Moldavia","Europa","2.640.438","1/2020"
"143","Namibia","Africa","2.504.498","7/2020"
"144","Botswana","Africa","2.374.698","7/2020"
"145","Gambia","Africa","2.335.504","7/2018"
"146","Gabon","Africa","2.176.766","7/2020"
"147","Slovenia","Europa","2.111.461","2/2021"
"148","Macedonia del Nord","Europa","2.076.255","12/2019"
"149","Lesotho","Africa","2.007.201","4/2016"
"150","Lettonia","Europa","1.897.100","10/2020"
"151","Kosovo","Europa","1.782.115","12/2019"
"152","Guinea-Bissau","Africa","1.624.945","7/2020"
"153","Bahrein","Asia","1.503.091","7/2018"
"154","Guinea Equatoriale","Africa","1.454.789","7/2020"
"155","Trinidad e Tobago","America","1.366.725","6/2020"
"156","Estonia","Europa","1.328.976","1/2020"
"157","Timor Est","Asia","1.299.412","7/2020"
"158","Mauritius","Africa","1.266.000","7/2020"
"159","eSwatini","Africa","1.093.238","3/2017"
"160","Gibuti","Africa","976.107","7/2018"
"161","Figi","Oceania","889.327","7/2019"
"162","Cipro","Europa-Asia","888.000","12/2019"
"163","Comore","Africa","758.316","12/2017"
"164","Bhutan","Asia","748.931","7/2020"
"165","La Riunione (Francia)","Africa","859.959","1/2020"
"166","Guyana","America","744.962","2018"
"167","Isole Salomone","Oceania","721.455","2019"
"168","Macao (Cina)","Asia","682.800","2020"
"169","Lussemburgo","Europa","656.108","2020"
"170","Montenegro","Europa","621.873","2020"
"171","Sahara Occidentale","Africa","597.000","2020"
"172","Suriname","America","590.100","2018"
"173","Capo Verde","Africa","556.857","2020"
"174","Malta","Europa","514.564","2019"
"175","Transnistria","Europa","469.000","2018"
"176","Brunei","Asia","459.500","2019"
"177","Belize","America","419.199","2020"
"178","Bahamas","America","389.000","2020"
"179","Maldive","Asia","383.135","2019"
"180","Guadalupa (Francia)","America","390 253","2017"
"181","Islanda","Europa","368.010","2020"
"182","Cipro del nord","Asia","351.965","2017"
"183","Martinica (Francia)","America","372 594","2017"
"184","Vanuatu","Oceania","300.019","2020"
"185","Barbados","America","287.025","2020"
"186","Polinesia francese","Oceania","278.400","2019"
"187","Nuova Caledonia (Francia)","Oceania","271.407","2019"
"188","Abcasia","Asia","245.424","2020"
"189","Guyana francese","America","290.691","2020"
"190","São Tomé e Príncipe","Africa","210.240","2020"
"191","Mayotte (Francia)","Africa","279.471","2020"
"192","Samoa","Oceania","202.506","2020"
"193","Saint Lucia","America","178.696","2018"
"194","Guam (Stati Uniti)","Oceania","172.400","2018"
"195","Curaçao (Paesi Bassi)","America","156.223","2020"
"196","Repubblica dell'Artsakh","Asia","148.800","2020"
"197","Kiribati","Oceania","119.940","2020"
"198","Grenada","America","112.519","2020"
"199","Aruba (Paesi Bassi)","America","112.269","2020"
"200","Saint Vincent e Grenadine","America","110.696","2020"
"201","Jersey (Regno Unito)","Europa","107.800","2019"
"202","Micronesia","Oceania","104.650","2020"
"203","Isole Vergini Americane (Stati Uniti)","America","104.578","2020"
"204","Tonga","Oceania","100.651","2016"
"205","Seychelles","Africa","98.462","2020"
"206","Antigua e Barbuda","America","97.895","2020"
"207","Isola di Man (Regno Unito)","Europa","83.314","2016"
"208","Andorra","Europa","81.543","2019"
"209","Dominica","America","71.808","2020"
"210","Isole Cayman (Regno Unito)","America","69.914","2019"
"211","Bermuda (Regno Unito)","America","64.054","2020"
"212","Guernsey (Regno Unito)","Europa","63.021","2019"
"213","Samoa Americane (Stati Uniti)","Oceania","56.700","2018"
"214","Groenlandia (Danimarca)","America","56.367","2020"
"215","Isole Marianne Settentrionali (Stati Uniti)","Oceania","56.200","2018"
"216","Isole Marshall","Oceania","55.500","2018"
"217","Ossezia del Sud","Asia","53.532","2015"
"218","Saint Kitts e Nevis","America","52.823","2020"
